symbol,provider_symbol,aliases,exposure_tags
AAPL,AAPL,Apple|Apple Inc|苹果,MEGA_CAP|CONSUMER_HARDWARE|SMARTPHONE|AI_DEVICE|CHINA_EXPOSURE
MSFT,MSFT,Microsoft|Microsoft Corporation|微软,MEGA_CAP|CLOUD|AI_PLATFORM|ENTERPRISE_SOFTWARE|CYBERSECURITY
NVDA,NVDA,NVIDIA|Nvidia Corporation|英伟达|辉达,MEGA_CAP|AI_COMPUTE|SEMICONDUCTOR|DATACENTER|GAMING
GOOGL,GOOGL,Alphabet|Google|谷歌|字母公司,MEGA_CAP|DIGITAL_ADS|CLOUD|AI_PLATFORM|SEARCH
META,META,Meta Platforms|Meta|Facebook|脸书|元宇宙,MEGA_CAP|DIGITAL_ADS|SOCIAL_MEDIA|AI_PLATFORM
AMZN,AMZN,Amazon|Amazon.com|亚马逊|AWS,MEGA_CAP|ECOMMERCE|CLOUD|AI_PLATFORM|CONSUMER
AVGO,AVGO,Broadcom|博通,MEGA_CAP|AI_COMPUTE|SEMICONDUCTOR|NETWORKING|ENTERPRISE_SOFTWARE
AMD,AMD,Advanced Micro Devices|AMD|超微半导体,AI_COMPUTE|SEMICONDUCTOR|DATACENTER|PC
INTC,INTC,Intel|Intel Corporation|英特尔,SEMICONDUCTOR|FOUNDRY|DATACENTER|PC|US_MANUFACTURING
QCOM,QCOM,Qualcomm|高通,SEMICONDUCTOR|SMARTPHONE|EDGE_AI|WIRELESS
MU,MU,Micron|Micron Technology|美光,SEMICONDUCTOR|MEMORY|AI_COMPUTE|DATACENTER
TSM,TSM,TSMC|Taiwan Semiconductor|台积电|台湾积体电路,SEMICONDUCTOR|FOUNDRY|AI_COMPUTE|TAIWAN_EXPOSURE
ASML,ASML,ASML Holding|ASML|阿斯麦,SEMICONDUCTOR_EQUIPMENT|LITHOGRAPHY|AI_COMPUTE|EUROPE_EXPOSURE
ARM,ARM,Arm Holdings|ARM|安谋|安谋科技,SEMICONDUCTOR_IP|EDGE_AI|SMARTPHONE|DATACENTER
MRVL,MRVL,Marvell Technology|Marvell|迈威尔,SEMICONDUCTOR|NETWORKING|AI_COMPUTE|DATACENTER
AMAT,AMAT,Applied Materials|应用材料,SEMICONDUCTOR_EQUIPMENT|US_MANUFACTURING|AI_COMPUTE
LRCX,LRCX,Lam Research|泛林集团,SEMICONDUCTOR_EQUIPMENT|MEMORY|AI_COMPUTE
KLAC,KLAC,KLA Corporation|KLA|科磊,SEMICONDUCTOR_EQUIPMENT|PROCESS_CONTROL|AI_COMPUTE
TXN,TXN,Texas Instruments|德州仪器,SEMICONDUCTOR|ANALOG_CHIPS|INDUSTRIAL|AUTOS
ADI,ADI,Analog Devices|亚德诺,SEMICONDUCTOR|ANALOG_CHIPS|INDUSTRIAL|AUTOS
SNPS,SNPS,Synopsys|新思科技,SEMICONDUCTOR_SOFTWARE|EDA|AI_COMPUTE
CDNS,CDNS,Cadence Design Systems|Cadence|楷登电子,SEMICONDUCTOR_SOFTWARE|EDA|AI_COMPUTE
ORCL,ORCL,Oracle|甲骨文,CLOUD|ENTERPRISE_SOFTWARE|AI_PLATFORM|DATABASE
CRM,CRM,Salesforce|赛富时,ENTERPRISE_SOFTWARE|CLOUD|AI_PLATFORM|CRM
NOW,NOW,ServiceNow|Service Now|服务软件,ENTERPRISE_SOFTWARE|CLOUD|AI_PLATFORM|WORKFLOW
